Gap_4_Candles,Opening_5th_Candle,Max_Next_4,Min_Next_4
2.24,1913.155,1914.428,1912.135
2.53,1913.495,1914.428,1910.918
2.63,1913.398,1914.428,1909.545
2.63,1913.905,1914.428,1909.545
2.293,1912.778,1912.985,1909.545
3.51,1910.998,1911.238,1909.398
4.883,1910.768,1911.238,1908.088
4.883,1910.745,1911.165,1908.088
3.44,1909.808,1910.458,1908.088
1.84,1910.318,1910.868,1908.088
3.15,1908.645,1912.245,1908.645
3.077,1909.758,1912.245,1909.225
2.37,1910.305,1912.245,1909.965
2.78,1910.158,1912.245,1909.965
3.6,1912.098,1912.245,1909.635
3.02,1911.908,1912.388,1909.635
2.28,1910.828,1912.388,1909.635
2.28,1911.365,1912.388,1909.635
2.61,1909.825,1912.388,1909.685
2.753,1912.118,1912.268,1910.038
2.753,1910.788,1912.075,1909.048
2.753,1910.465,1912.075,1909.048
2.703,1910.598,1912.075,1909.048
2.23,1910.845,1912.075,1909.048
3.027,1909.668,1914.425,1909.328
3.027,1909.748,1914.425,1909.668
3.027,1910.238,1914.425,1908.178
3.027,1911.108,1914.425,1908.178
5.097,1912.408,1912.408,1908.178
4.757,1910.158,1911.128,1907.278
6.247,1909.778,1910.638,1906.588
6.247,1909.378,1910.638,1906.515
4.23,1910.315,1912.265,1906.515
3.85,1907.748,1913.508,1906.515
4.05,1907.085,1913.548,1906.515
4.123,1909.485,1913.758,1908.995
5.75,1912.215,1913.758,1911.178
6.993,1912.368,1913.758,1911.398
7.033,1913.085,1913.758,1911.398
4.763,1912.348,1913.458,1911.358
2.58,1912.905,1914.245,1911.358
2.36,1912.478,1916.095,1911.358
2.36,1912.615,1917.938,1911.358
2.1,1913.015,1917.938,1912.418
2.887,1913.378,1919.068,1913.028
4.737,1916.088,1919.068,1912.248
6.58,1916.055,1919.068,1912.248
5.52,1917.468,1919.068,1912.248
6.04,1914.178,1918.968,1912.248
6.82,1917.625,1918.988,1913.478
6.82,1913.705,1921.018,1913.538
6.82,1915.688,1921.018,1911.788
6.72,1918.198,1921.018,1911.788
5.51,1918.568,1921.018,1911.788
7.48,1918.128,1918.798,1911.138
9.23,1915.045,1918.008,1910.915
9.23,1914.478,1917.228,1910.375
9.23,1913.845,1917.228,1908.208
7.66,1911.658,1917.228,1908.208
7.093,1911.198,1913.265,1901.558
6.853,1912.735,1912.958,1900.385
9.02,1910.478,1911.205,1900.385
9.02,1908.735,1909.068,1900.385
11.707,1902.015,1905.965,1900.385
12.573,1905.805,1905.965,1902.598
10.82,1905.418,1905.865,1902.598
8.683,1904.295,1904.868,1901.858
5.58,1903.775,1904.378,1898.298
3.367,1903.568,1904.378,1898.298
3.267,1903.818,1905.538,1898.298
3.01,1902.185,1906.358,1898.298
6.08,1900.675,1906.358,1891.935
6.08,1902.485,1906.358,1889.925
7.24,1905.025,1906.358,1889.925
8.06,1905.328,1906.108,1889.925
14.423,1897.165,1897.328,1886.628
16.433,1894.278,1894.995,1883.318
16.433,1893.748,1894.775,1883.318
16.183,1892.635,1893.238,1879.905
10.7,1887.598,1888.895,1874.558
11.677,1886.045,1886.495,1874.558
11.457,1885.975,1886.175,1874.558
13.333,1881.935,1882.108,1874.558
14.337,1878.368,1880.818,1874.638
11.937,1878.118,1879.635,1874.638
11.617,1878.388,1878.538,1874.638
7.55,1876.908,1878.808,1874.638
6.18,1875.778,1880.515,1875.668
4.997,1876.905,1880.515,1876.595
3.9,1877.928,1880.728,1876.828
4.17,1878.558,1880.728,1876.485
4.847,1880.065,1880.728,1876.485
3.92,1879.548,1880.728,1876.485
3.9,1880.665,1880.665,1873.068
4.243,1877.135,1878.918,1872.748
4.243,1878.298,1880.708,1872.748
4.243,1878.388,1880.708,1872.748
7.597,1873.898,1880.708,1872.748
6.17,1875.588,1881.138,1875.368
7.96,1879.305,1881.975,1878.458
7.96,1879.228,1882.408,1878.818
7.96,1880.085,1882.445,1879.348
5.77,1880.288,1882.745,1879.458
3.517,1881.005,1884.068,1879.458
3.59,1882.105,1884.068,1879.458
3.097,1881.655,1884.068,1881.515
3.287,1882.388,1884.068,1881.918
4.61,1882.758,1883.745,1881.918
4.61,1882.758,1884.658,1881.798
2.553,1882.975,1884.758,1881.798
2.15,1882.515,1886.038,1881.798
1.827,1882.625,1887.155,1881.798
2.86,1884.538,1887.668,1883.248
2.96,1884.218,1889.635,1883.768
4.24,1885.308,1890.748,1884.658
5.357,1885.638,1894.288,1884.758
4.42,1886.745,1896.358,1885.728
5.867,1889.278,1897.898,1889.038
6.09,1890.428,1897.898,1889.745
9.53,1894.248,1897.898,1889.575
10.63,1895.878,1897.898,1889.575
8.86,1894.488,1894.838,1889.575
8.153,1889.988,1894.688,1889.508
8.323,1892.748,1894.688,1889.308
8.323,1893.088,1893.448,1888.098
5.263,1892.038,1892.648,1887.018
5.18,1889.508,1891.798,1886.508
5.38,1889.888,1890.258,1886.508
5.35,1888.678,1890.258,1886.305
5.63,1887.438,1890.258,1886.305
5.29,1890.065,1890.258,1886.305
3.75,1888.165,1889.155,1885.298
3.953,1887.808,1889.155,1882.368
3.953,1888.405,1889.155,1882.368
3.953,1887.648,1887.988,1882.368
3.857,1885.585,1888.875,1882.368
6.787,1883.445,1890.708,1882.848
6.787,1885.145,1890.708,1884.805
5.62,1886.615,1891.655,1885.575
6.507,1888.445,1891.745,1886.048
7.86,1889.888,1891.745,1886.048
5.903,1886.625,1891.745,1883.378
6.08,1891.645,1891.745,1883.238
5.697,1889.578,1890.325,1883.048
5.697,1888.535,1889.598,1879.638
8.367,1885.958,1889.598,1879.078
8.507,1885.008,1889.408,1879.078
7.277,1883.108,1885.598,1879.078
9.96,1879.848,1887.708,1879.078
10.52,1883.638,1887.708,1881.485
10.33,1883.348,1888.658,1881.485
6.52,1883.608,1888.658,1883.388
8.63,1884.208,1888.658,1882.718
6.223,1886.638,1888.658,1880.495
7.173,1887.958,1888.428,1880.495
5.27,1885.675,1887.008,1880.495
5.94,1883.425,1887.448,1880.495
8.163,1882.805,1888.048,1882.005
7.933,1884.468,1888.748,1884.418
6.513,1886.315,1888.748,1885.028
6.953,1887.238,1888.748,1885.028
6.043,1887.948,1888.748,1885.028
4.33,1887.658,1887.698,1885.028
3.72,1885.378,1887.648,1885.068
3.72,1886.065,1887.648,1885.118
3.72,1885.925,1887.415,1885.118
2.67,1886.705,1887.415,1885.118
2.58,1885.475,1887.628,1885.118
2.53,1886.185,1887.628,1885.118
2.297,1885.535,1888.268,1885.118
2.297,1885.248,1888.608,1885.198
2.51,1887.028,1888.608,1886.118
2.51,1886.648,1888.608,1886.118
3.15,1888.025,1888.608,1886.118
3.41,1888.338,1888.338,1886.118
2.49,1886.638,1888.255,1886.638
2.49,1887.268,1888.255,1886.815
2.49,1887.385,1888.255,1886.748
2.22,1887.538,1888.255,1886.728
1.617,1887.428,1887.975,1886.728
1.44,1886.905,1887.975,1884.118
1.507,1886.848,1887.975,1884.118
1.527,1887.485,1887.975,1884.118
1.247,1886.858,1886.945,1884.118
3.857,1885.945,1887.145,1885.065
3.857,1886.088,1887.145,1884.298
3.857,1885.785,1887.145,1883.728
2.827,1886.265,1889.098,1883.728
2.08,1886.248,1889.098,1883.728
2.847,1884.535,1889.098,1883.728
3.417,1886.305,1889.098,1886.125
5.37,1888.308,1888.428,1885.545
5.37,1886.918,1887.508,1885.545
5.37,1886.548,1887.508,1884.315
2.973,1886.598,1887.508,1883.218
2.883,1887.288,1887.488,1883.218
1.963,1886.235,1886.558,1883.218
3.193,1884.345,1885.468,1883.218
4.29,1884.785,1885.498,1884.038
4.27,1885.198,1886.148,1884.295
3.34,1884.755,1887.395,1884.455
2.25,1885.428,1889.128,1884.598
1.46,1884.908,1890.168,1884.908
1.853,1885.455,1890.168,1885.448
2.94,1887.278,1890.168,1887.258
4.53,1888.538,1890.168,1886.675
5.26,1888.928,1893.205,1886.675
4.72,1888.645,1894.348,1886.675
2.91,1887.258,1895.198,1886.675
